nr_runs	nr_files	mFDR	IP/PPs	target_PSM	decoy_PSM	FP_PSM	TP_PSM	target_pepID	decoy_pepID	FP_pepID	FP_pepID_stdev	TP_pepID	pepFDR	target_protID	decoy_protID	FP_protID	FP_protID_stdev	TP_protID	protFDR	target_protIDs	decoy_protIDs	FP_protIDs	TP_protIDs	protFDRs	target_protIDns	decoy_protIDns	FP_protIDns	TP_protIDns	protFDRns
19	1	0	1	0	0	0	0	0	0	0	0.00000000	0	0.00000000	0	0	0	0.00000000	0	0.00000000	0	0	0	0	0.00000000	0	0	0	0	0.00000000
19	1	0.0002	0.999919	162826	32	32	162794	4102	4	4	0.05418722	4098	0.00097442	204	4	4	0.19859368	200	0.01941258	6	0	0	6	0.00000000	198	4	4	194	0.02000084
19	1	0.0004	0.998761	171218	68	68	171150	4383	6	6	0.06858524	4377	0.00136785	254	6	6	0.25495257	248	0.02336334	11	0	0	11	0.00000000	243	6	6	237	0.02442094
19	1	0.0006	0.991459	175092	104	104	174988	4600	8	8	0.08111519	4592	0.00173770	315	6	6	0.29034786	309	0.01877622	49	0	0	49	0.00000000	266	6	6	260	0.02223500
19	1	0.0008	0.977084	176220	140	140	176080	4669	8	8	0.08172170	4661	0.00171200	320	6	6	0.29191940	314	0.01847990	52	0	0	52	0.00000000	268	6	6	262	0.02206555
19	1	0.001	0.95183	176894	176	176	176718	4707	12	12	0.10045231	4695	0.00254725	322	10	10	0.36262030	312	0.03064273	49	2	2	47	0.04027330	273	8	8	265	0.02891417
19	1	0.0012	0.908066	177424	212	212	177212	4754	14	14	0.10901911	4740	0.00294239	329	12	12	0.40975429	317	0.03595752	51	1	1	50	0.01933010	278	11	11	267	0.03900787
19	1	0.0014	0.876722	177667	248	248	177419	4773	16	16	0.11675496	4757	0.00334933	333	13	13	0.43687513	320	0.03845834	54	0	0	54	0.00000000	279	13	13	266	0.04590189
19	1	0.0016	0.833631	177893	284	284	177609	4796	19	19	0.12749774	4777	0.00395824	337	14	14	0.44973590	323	0.04093526	53	1	1	52	0.01859189	284	13	13	271	0.04510497
19	1	0.0018	0.76529	178190	320	320	177870	4825	20	20	0.13119234	4805	0.00414151	342	14	14	0.46040508	328	0.04030765	56	0	0	56	0.00000000	286	14	14	272	0.04820006
19	1	0.002	0.681433	178481	356	356	178125	4859	22	22	0.13805266	4837	0.00452375	351	15	15	0.48846884	336	0.04204565	61	1	1	60	0.01612899	290	14	14	276	0.04749708
19	1	0.0022	0.583513	178742	393	393	178349	4892	27	27	0.15337965	4865	0.00551440	355	17	17	0.52365187	338	0.04710408	56	3	3	53	0.05269521	299	14	14	285	0.04605691
19	1	0.0024	0.532458	178863	429	429	178434	4913	28	28	0.15651459	4885	0.00569418	363	17	17	0.54392314	346	0.04600450	63	1	1	62	0.01559256	300	16	16	284	0.05239100
19	1	0.0026	0.48384	179029	465	465	178564	4926	37	37	0.17999272	4889	0.00750458	369	24	24	0.65089626	345	0.06387503	62	6	6	56	0.09503986	307	18	18	289	0.05758115
19	1	0.0028	0.433887	179169	501	501	178668	4943	38	38	0.18270678	4905	0.00768088	373	24	24	0.66382816	349	0.06314287	61	4	4	57	0.06435052	312	20	20	292	0.06290676
19	1	0.003	0.397337	179289	537	537	178752	4953	43	43	0.19445472	4910	0.00867397	376	26	26	0.69487842	350	0.06784378	58	4	4	54	0.06766382	318	22	22	296	0.06787660
19	1	0.0032	0.361332	179407	574	574	178833	4970	49	49	0.20781083	4921	0.00985046	380	30	29	0.74312699	351	0.07747161	59	7	7	52	0.11642626	321	23	23	298	0.07031172
19	1	0.0034	0.320176	179541	610	610	178931	4982	53	53	0.21630209	4929	0.01062890	384	32	31	0.76897167	353	0.08176954	62	7	7	55	0.11078454	322	25	25	297	0.07618281
19	1	0.0036	0.292759	179648	646	646	179002	4992	59	59	0.22831015	4933	0.01180846	385	36	35	0.80646890	350	0.09179405	60	7	7	53	0.11453008	325	29	28	297	0.08759663
19	1	0.0038	0.265835	179751	683	683	179068	5002	61	61	0.23233561	4941	0.01218432	389	38	37	0.83157990	352	0.09588466	61	9	9	52	0.14481975	328	29	28	300	0.08678392
19	1	0.004	0.243455	179834	719	719	179115	5009	65	65	0.23990511	4944	0.01296514	390	40	39	0.85217187	351	0.10067670	61	9	9	52	0.14482590	329	31	30	299	0.09249098
19	1	0.0042	0.226616	179911	755	755	179156	5015	71	71	0.25073356	4944	0.01414498	391	44	43	0.88376994	348	0.11050872	59	13	13	46	0.21637744	332	31	30	302	0.09169470
19	1	0.0044	0.205787	179999	791	791	179208	5027	75	75	0.25790807	4952	0.01490619	395	47	46	0.91785219	349	0.11682723	60	16	16	44	0.26182557	335	31	30	305	0.09085738
19	1	0.0046	0.193381	180068	828	828	179240	5033	81	81	0.26802622	4952	0.01607950	397	52	51	0.95533611	346	0.12865518	60	17	17	43	0.27829929	337	35	34	303	0.10201231
19	1	0.0048	0.171362	180182	864	864	179318	5042	84	84	0.27310981	4958	0.01664525	400	52	51	0.96231048	349	0.12765571	62	13	13	49	0.20589631	338	39	38	300	0.11330388
